Region,Lat,Lon,FlightHours,Investment_Billion,Tenders,Enterprises,Patents,Drones,Pilots,Accidents,Vertiports,Scenario_Logistics,Scenario_Tourism,Scenario_Agri,Scenario_Inspection
北京,39.9042,116.4074,88351,58.74,86,592,171,29010,1742,6,56,34343,17431,15226,22285
上海,31.2304,121.4737,122424,46.95,90,340,297,22417,1478,0,37,48274,23010,15443,27340
广东,23.1291,113.2644,111831,31.96,90,358,164,14617,1151,1,29,43184,19336,19631,23369
深圳,22.5431,114.0579,134828,63.48,153,553,222,21985,1098,5,38,57537,22157,20269,27821
四川,30.5728,104.0668,51905,16.88,53,124,114,7808,587,1,14,24367,11664,8160,11842
浙江,30.2741,120.1551,104075,18.96,80,196,197,21532,927,4,16,45527,22702,13249,25090
江苏,32.0603,118.7969,127321,37.3,56,353,157,20369,755,0,32,45703,25581,20004,33395
湖南,28.2282,112.9388,38709,26.87,33,163,87,6815,418,1,21,17693,7912,6052,7909
安徽,31.8601,117.2849,33801,16.27,31,332,99,7365,377,3,7,11199,6010,6018,7782
陕西,34.3416,108.9398,59545,16.19,39,127,90,6935,264,1,17,21246,11119,8155,16477
